title,genres,rating,action,film-noir,imax,crime,fantasy,children,comedy,musical,horror,animation,adventure,mystery,romance,documentary,thriller,war,sci-fi,drama,western
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,C,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Jumanji (1995),Adventure|Children|Fantasy,C,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Grumpier Old Men (1995),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Father of the Bride Part II (1995),Comedy,D,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sabrina (1995),Comedy|Romance,D,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"American President, The (1995)",Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Nixon (1995),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Casino (1995),Crime|Drama,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sense and Sensibility (1995),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Get Shorty (1995),Comedy|Crime|Thriller,C,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,D,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Leaving Las Vegas (1995),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Othello (1995),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Persuasion (1995),Drama|Romance,B,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,B,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
Dangerous Minds (1995),Drama,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Babe (1995),Children|Drama,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dead Man Walking (1995),Crime|Drama,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
It Takes Two (1995),Children|Comedy,F,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Clueless (1995),Comedy|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Cry, the Beloved Country (1995)",Drama,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Richard III (1995),Drama|War,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Restoration (1995),Drama,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
To Die For (1995),Comedy|Drama|Thriller,C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
How to Make an American Quilt (1995),Drama|Romance,D,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,B,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Mighty Aphrodite (1995),Comedy|Drama|Romance,C,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
