title;genres;rating;action;film-noir;imax;crime;fantasy;children;comedy;musical;horror;animation;adventure;mystery;romance;documentary;thriller;war;sci-fi;drama;western
Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;C;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
Jumanji (1995);Adventure|Children|Fantasy;C;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Father of the Bride Part II (1995);Comedy;D;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Get Shorty (1995);Comedy|Crime|Thriller;C;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Copycat (1995);Crime|Drama|Horror|Mystery|Thriller;D;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0
City of Lost Children, The (Cité des enfants perdus, La) (1995);Adventure|Drama|Fantasy|Mystery|Sci-Fi;B;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller;C;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
It Takes Two (1995);Children|Comedy;F;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Cry, the Beloved Country (1995);Drama;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Usual Suspects, The (1995);Crime|Mystery|Thriller;B;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Mary Reilly (1996);Drama|Horror|Thriller;E;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0
Muppet Treasure Island (1996);Adventure|Children|Comedy|Musical;C;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0
Braveheart (1995);Action|Drama|War;B;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Apollo 13 (1995);Adventure|Drama|IMAX;C;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
Batman Forever (1995);Action|Adventure|Comedy|Crime;E;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Congo (1995);Action|Adventure|Mystery|Sci-Fi;E;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
Net, The (1995);Action|Crime|Thriller;D;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);Drama|Musical|Romance;B;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
Hoop Dreams (1994);Documentary;A;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Houseguest (1994);Comedy;D;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Star Wars: Episode IV - A New Hope (1977);Action|Adventure|Sci-Fi;B;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Mary Shelley's Frankenstein (Frankenstein) (1994);Drama|Horror|Sci-Fi;E;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Natural Born Killers (1994);Action|Crime|Thriller;D;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Santa Clause, The (1994);Comedy|Drama|Fantasy;D;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Shawshank Redemption, The (1994);Crime|Drama;A;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Corrina, Corrina (1994);Comedy|Drama|Romance;D;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
Forrest Gump (1994);Comedy|Drama|Romance|War;B;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0
