title,genres,rating,action,film-noir,imax,crime,fantasy,children,comedy,musical,horror,animation,adventure,mystery,romance,documentary,thriller,war,sci-fi,drama,western
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,B,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Jumanji (1995),Adventure|Children|Fantasy,B,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Get Shorty (1995),Comedy|Crime|Thriller,B,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,C,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,A,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
Dangerous Minds (1995),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
It Takes Two (1995),Children|Comedy,D,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Restoration (1995),Drama,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
How to Make an American Quilt (1995),Drama|Romance,C,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Usual Suspects, The (1995)",Crime|Mystery|Thriller,A,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Mary Reilly (1996),Drama|Horror|Thriller,D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,B,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Braveheart (1995),Action|Drama|War,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Boomerang (1992),Comedy|Romance,D,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Apollo 13 (1995),Adventure|Drama|IMAX,B,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Batman Forever (1995),Action|Adventure|Comedy|Crime,D,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Congo (1995),Action|Adventure|Mystery|Sci-Fi,D,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
